id	value
"BLACKS	215
PLANNED	214
O…	214
JEWS	214
E	214
WORST	213
SWEDEN'S	213
CAUGHT	213
BELIEVES	213
AGENDA	213
SON	212
REFERRING	212
PICK	212
ACCOUNTABLE	212
,	212
SENIOR	211
SAFE	211
@CARLBILDT:	211
TH…	210
THREAT	210
LEADER	210
LAW	210
FINALLY	210
RIGHT.	209
RESIGNS	209
ELECTION.	209
MAIN	208
KIND	208
GUESS	208
EMBASSY	208
COMMITTED	208
ORLANDO/ORANGE	207
MEMBER	207
IMPORTANT	207
GIVING	207
FRIENDS	207
DEMS	207
COVERING	207
WORSE	206
PEOPLE'	206
MOCKS	206
HISTORY.	206
COMMUNITY	206
=	206
2020	206
RECORD	205
SEND	204
P…	204
LEADERS	204
BECAME	204
@IMMIGRANT4TRUMP:	204
@BARACKOBAMA	204
STRAIGHT	203
PUTIN'S	203
NO,	203
CASE	203
CAN’T	203
NSC	202
MAINSTREAM	202
GENE	202
#TRUMP'S	202
REALITY	201
READY	201
PRESIDENTE	201
LOL	201
HIT	200
FATHER	200
@ERICGARLAND:	200
PROTESTING	199
OFTEN	199
MIGRANTS	199
STREET	198
RESPONSE	198
NEWS:	198
MOVEMENT	198
MIKE	198
MASSACRE.	198
FUNDING	198
ARMY	198
YOURSELF	197
TOTALLY	197
LED	197
YEAH,	196
TODAY,	196
STAY	196
SCHOOL	196
PROBLEM	196
PREVIOUS	196
PER	196
GONNA	196
33	196
SPECIAL	195
MET	195
GIVES	195
AGO	195
@WHITEHOUSE	195
PROOF	194
MIDDLE	194
KEEPS	194
EUROPE	194
CHINA	194
@MSNBC	194
@GOP	194
TAXES	193
SEN.	193
HORRIBLE	193
HELD	193
HASN'T	193
HA	193
FORGET	193
ELECTORAL	193
DOSSIER	193
ATLANTA.	193
29	193
VIOLATING	192
INVITED	192
INVESTIGATING	192
IN.	192
DIE	192
@C0NVEY	192
YES	191
POOR	191
MINUTES	191
LOSE	191
CONGRATULATIONS	191
WOULDN'T	190
VENEZUELA	190
REVEALS	190
PRESI…	190
OPENS	190
MENTAL	190
DEFEND	190
CONTROL	190
CONSERVATIVES	190
CAME	190
@VOTETRUMPPICS:	190
@REALDONALDTRUMP'S	190
THIS.	189
PAGE	189
LEFTISTS	189
LEAKED	189
J.	189
FAITH	189
CITY	189
BUDGET	189
ACTION	189
@AYNRANDPAULRYAN:	189
UNA	188
TOWN	188
TALKS	188
REPORTS	188
REALIZE	188
RALLY:	188
PROBLEMS	188
I'D	188
DIED	188
CONTINUES	188
@_MAKADA_:	188
WOMAN	187
JOBS	187
FINANCIAL	187
@JONFAVS:	187
1.	187
ZERO	186
SITE	186
ORDERS	186
NY	186
#RESISTANCE	186
RELEASE	185
PROMISES	185
DROPPED	185
BRIEFINGS	185
@SUBZEROV690:	185
+	185
SUNDAY	184
NAMES	184
LORDS	184
HEAD	184
CONSERVATIVE	184
CLEAR	184
@RAWSTORY:	184
'THE	184
WELL.	183
PARIS	183
OVERWHELMINGLY	183
MORNING	183
CLEAR:	183
AGO,	183
@IVANKATRUMP:	183
.@POTUS	183
THERE.	182
PAST	182
LINKED	182
DUE	182
VS	181
TRADE	181
BOYCOTT	181
DEMOCRATIC	180
CUT	180
COHEN	180
THAT.	179
RELATED	179
COMPLETE	179
ADVISOR.	179
@THEHILL	179
@CBS	179
THEM.	178
SI	178
RULES	178
RECITING	178
SENATOR	177
RATHER	177
EXPLAINS	177
DESTROYS	177
@POLITICUSUSA	177
RETURNS	176
REP.	176
KNOWN	176
HIRE	176
FEAT.	176
ET	176
CPAC	176
BASIS	176
AMAZING	176
6TH	176
PRO-TRUMP	175
PRETTY	175
PLAYING	175
CONNECTION	175
CHANCE	175
TOWER	174
OPENED	174
OFFICE.	174
FOUND	174
EU	174
DAVID	174
BUILD	174
@PALMERREPORT:	174
@ANNCOULTER:	174
TODAY.	173
MONTH,	173
MOCKED	173
MAJORITY	173
HITLER	173
LIKELY	172
IRAQ	172
DIDN’T	172
ACTIVISTS	172
"BAFFLED"	172
US.	171
SOUTHERN	171
RAPES	171
PRESS.	171
PEACE	171
INSTITUTION	171
DICTATOR	171
BASE	171
AMID	171
ACTUALLY,	171
ABSOLUTELY	171
#YOUREFIRED	171
VIOLENCE	170
UNDOCUMENTED	170
TELLING	170
JOB.	170
HI…	170
F…	170
ASKING	170
AMONG	170
"ARE	170
IMPEACH	169
CRITICAL	169
ASS	169
'ENEMY	169
WORKERS	168
STEPHEN	168
SEEING	168
ISSUES	168
EACH	168
SAD!	167
OK	167
MADURO	167
IT!	167
ERIC	167
DIDO	167
CREATE	167
CONNECTIONS	167
@JOSHGREENMAN:	167
@INDEPENDENT:	167
RED	166
PUSH	166
COMMITTEE	166
AMERICA.	166
YOU!	165
IN:	165
HTTPS://T.CO/ZGFIWVUZDZ	165
FRONT	165
CRITICIZING	165
ANCHOR	165
@WASHINGTONPOST	165
@BEARDEDGENIUS:	165
'NOT	165
#TCOT	165
"ENEMY	165
OTHERS	164
OPINION	164
LEAD	164
HE'S…	164
HATRED	164
HAPPENS	164
BBC	164
AMENDMENT	164
RIGHT,	163
ELSE	163
@KELLYANNEPOLLS	163
#BREAKING	163
RESIST	162
HOURS	162
COUNTRIES	162
@NICHOLSUPRISING:	162
@BILLKRISTOL:	162
#MAKEAMERICAGREATAGAIN	162
!!	162
TRIES	161
RISE	161
PRESIDENTS'	161
MUSLIMS	161
FEAR	161
DES	161
BLAME	161
ALLEGED	161
@ANANAVARRO:	161
WISH	160
SWEDEN:	160
STORIES	160
EVENT	160
DON	160
DEAD	160
ADMIT	160
@AJPLUS:	160
@	160
WAITING	159
SILENT	159
SHUT	159
RYAN	159
REINCE	159
Q	159
HIRED	159
GROUPS	159
BRINGS	159
ANTI	159
SINGLE	158
MICHELLE	158
MENTIONED	158
DE…	158
CONSTANTLY	158
BARACK	158
100	158
PUSHING	157
LIMBAUGH	157
LAUNCHED	157
HONOR	157
DEPARTMENT	157
CAUSE	157
ADMITS	157
80	157
YA	156
W…	156
SEXUAL	156
ADVISOR,	156
@DAVIDYANKOVICH:	156
NUMEROUS	155
IT…	155
CRAZY	155
@STOCKMONSTERUSA:	155
@HUFFINGTONPOST:	155
$64	155
👈	154
WEST	154
SERVICE	154
RE	154
MCMASTER.	154
HOST	154
EXPENSES	154
CO…	154
APPARENTLY	154
AGAIN,	154
@CARLBERNSTEIN:	154
WAIT	153
POPULAR	153
DISTRICTS	153
CRISIS	153
COULDN'T	153
CAUSED	153
CAMP	153
BACK-CHANNEL	153
ARTICLE	153
TONIGHT	152
NOW,	152
INTERNET	152
GUYS	152
#POTUS	152
YOUNG	151
STUFF	151
REPLACE	151
PLAYED	151
LINCOLN	151
IT’S	151
GOLFING	151
DAMN	151
CLASSIFIED	151
AHEAD	151
VIA…	150
JEFFERSON	150
INSIDE	150
IMPEACHMENT	150
HE'LL	150
CONDEMN	150
CITED	150
@AP:	150
#MADUROLETEMEATRUMP	150
