id	value
sharon_mulry	5
sevenbowie	5
seagal_lori	5
se_better	5
sardire	5
sandyc1772	5
sakotheAmerican	5
sabrina130God	5
ryoatl	5
roxannelwright	5
rogerolmos9	5
rhondaathompson	5
rgcainmd	5
reesworld1	5
redwarpig	5
reallyfeduphere	5
rachelk82705942	5
puttnpdx	5
prtyof10	5
pqpolitics	5
pixiedust5135	5
pink2yoo	5
philmonaco67	5
phillip92321	5
perriganps	5
paulrlanni	5
pasammi	5
pas5974	5
owelor02	5
orlandoandresm4	5
organic2016	5
onderick_onder3	5
ohioborne	5
ofarther	5
oceanshaman	5
nursypam	5
ntmyprez	5
noone_nothing12	5
nickgiordano3	5
newhorizons777	5
netminnow	5
nakanotekeko	5
myecoll	5
music2c	5
mucketymucks	5
mr_jj_cakes	5
moonenlita	5
momgladewater	5
momdcy	5
mix_your_music	5
misshome888	5
mikikee1	5
mikemartin123	5
mike_highley	5
micjojd	5
mgmglobal	5
mehala13	5
meganhswanson	5
mdjacksondallas	5
mbrice30	5
marvymuse	5
mango_conway	5
mamashenay	5
maehamilton1	5
lula_reh	5
lugoginger	5
lucymypet	5
luandalobito	5
lovetreeskk	5
loveletters2007	5
louieluvsobama	5
loriann2639	5
lor65	5
lmadmamta	5
llacigart	5
lizeraly	5
listenupdrumpf	5
lindarose524	5
lheslov	5
lehimesa	5
legacyartsstudi	5
leeshutterbug	5
laurasretweets	5
latest_ooyuz	5
lasillarota	5
larklittlefoot	5
ladydwall	5
ktydid7303	5
krammer_cosmos	5
kpeters4130	5
knammari1	5
khankiso	5
keywest0007	5
kdbk42	5
katie98026	5
kathijo29	5
kakabouie	5
justjoeaz1	5
julie_cappiello	5
judycampbell192	5
judesterworld	5
jojos444	5
joaquinbala_	5
jmsexton_	5
jengrimes8	5
jchoffos	5
jayhay60	5
jaunepapion	5
janetdowdy93	5
iwantnewpres	5
inky_mark	5
inglamwetrust	5
imadmf	5
ignorancecosts	5
ibisflight	5
iAmFreedomMan	5
hopefuloptimist	5
honestAbe76	5
herenotthere9	5
health_lif	5
harleyb11	5
grey_sister	5
grannycoo	5
granny_claudia	5
gracia_mosen	5
gphumber	5
gmcustodio	5
ggentlemanirish	5
garz2656	5
galerobinson16	5
freedomusa_	5
freeandfunny14	5
fightthefluff	5
fiftyfiveandup	5
featherravenhaw	5
evytodd	5
evelinekipping	5
eugene_warmoth	5
enfingercolton2	5
elvisinoregon	5
elgomes15	5
electrikmonk	5
electricboyo	5
ela1ine	5
educhinex247	5
dweezil2k	5
dunnet26	5
dswslc	5
dstuef	5
dsshep1959	5
drumpfshit360	5
drofdem	5
drmom89	5
dreamedofdust	5
djbratpack	5
dixie70056	5
discjocke52	5
diannkappy	5
dhalia_kado	5
dfasciana7	5
deplorable111	5
delta2768	5
debra_bonanno	5
deanawa55339161	5
dave31_sam	5
darinnstacy	5
dancingladybug6	5
dallascowboysnf	5
dacamovatib	5
cy_frost	5
crust53	5
cowboyscards	5
countryboyexec	5
cotey_mary	5
contrapuntovzla	5
comrade_orange	5
colmant_	5
colbert_ed	5
codeharry	5
co_rapunzel4	5
cmg255	5
cmadmax	5
clrih9	5
classygal21	5
ckiser619	5
cindi_kennedy	5
chikulawayoo	5
charleshogan54	5
cgnetwork	5
cblazina	5
catlover1943	5
carrieksada	5
carolekingnyc	5
carmelmanion	5
cammac491	5
cala_1111	5
bzzz_foy	5
bzazzie	5
buffaloon	5
brenz1	5
bowmanlee7777	5
books2luv	5
bobbybnews	5
boandsunny	5
blp112434	5
bjatmcw	5
bizacco	5
bitchyologist	5
billrockhill	5
bikerbd	5
bidani_bechir	5
bfrasier1951	5
bextrex9437	5
bethbrookfield	5
best_au	5
bbonnie123	5
bayaningpinay	5
baderalsolmi	5
backhoeman1940	5
babsben	5
baalter	5
aziaone1	5
arquitetinha	5
aroseblush	5
arembooks	5
aoifectcp	5
annepearl1	5
annabella313	5
aneetacarol	5
alistairpge	5
albert1776	5
akuma_river	5
aguayoclay	5
afentriss	5
aemac1	5
aedaw9i	5
abracadabraNY	5
a35362	5
